AAcelerômetro X = 57 	Y = -19 	Z = 2209
Acelerômetro X = 47 	Y = -25 	Z = 2209
Acelerômetro X = 44 	Y = -19 	Z = 2184
Acelerômetro X = 35 	Y = -41 	Z = 2190
Acelerômetro X = 44 	Y = -31 	Z = 2199
Acelerômetro X = 42 	Y = -47 	Z = 2196
Acelerômetro X = 53 	Y = -27 	Z = 2204
Acelerômetro X = 51 	Y = -21 	Z = 2197
Acelerômetro X = 57 	Y = -30 	Z = 2199
Acelerômetro X = 48 	Y = -19 	Z = 2178
Acelerômetro X = 36 	Y = -25 	Z = 2195
Acelerômetro X = 49 	Y = -30 	Z = 2199
Acelerômetro X = 47 	Y = -29 	Z = 2209
Acelerômetro X = 48 	Y = -20 	Z = 2182
Acelerômetro X = 49 	Y = -41 	Z = 2189
Acelerômetro X = 58 	Y = -34 	Z = 2191
Acelerômetro X = 54 	Y = -16 	Z = 2195
Acelerômetro X = 61 	Y = -27 	Z = 2205
Acelerômetro X = 48 	Y = -34 	Z = 2208
Acelerômetro X = 222 	Y = 733 	Z = 2159
Acelerômetro X = 6 	Y = 49 	Z = 2189
Acelerômetro X = -130 	Y = 429 	Z = 1826
Acelerômetro X = -250 	Y = 859 	Z = 1826
Acelerômetro X = -100 	Y = 999 	Z = 1752
Acelerômetro X = -217 	Y = 997 	Z = 1918
Acelerômetro X = -511 	Y = 981 	Z = 1567
Acelerômetro X = 33 	Y = 121 	Z = 2240
Acelerômetro X = -523 	Y = 524 	Z = 2106
Acelerômetro X = -315 	Y = 87 	Z = 2098
Acelerômetro X = -570 	Y = 263 	Z = 2539
Acelerômetro X = -130 	Y = -225 	Z = 2445
Acelerômetro X = -405 	Y = 215 	Z = 2300
Acelerômetro X = -153 	Y = -230 	Z = 2063
Acelerômetro X = 133 	Y = -799 	Z = 1987
Acelerômetro X = 716 	Y = -906 	Z = 1687
Acelerômetro X = -255 	Y = -974 	Z = 2591
Acelerômetro X = -624 	Y = -1127 	Z = 2465
Acelerômetro X = -537 	Y = -997 	Z = 1777
Acelerômetro X = -813 	Y = -755 	Z = 1531
Acelerômetro X = -896 	Y = -798 	Z = 1725
Acelerômetro X = -947 	Y = -716 	Z = 1596
Acelerômetro X = -752 	Y = -170 	Z = 1960
Acelerômetro X = -345 	Y = 396 	Z = 1585
Acelerômetro X = 173 	Y = 445 	Z = 1233
Acelerômetro X = 143 	Y = 751 	Z = 450
Acelerômetro X = 457 	Y = 1129 	Z = 604
Acelerômetro X = 483 	Y = 1081 	Z = 458
Acelerômetro X = 1552 	Y = 811 	Z = 1310
Acelerômetro X = 1459 	Y = 656 	Z = 1888
Acelerômetro X = 1552 	Y = 564 	Z = 1552
Acelerômetro X = 1510 	Y = 69 	Z = 802
Acelerômetro X = 1092 	Y = 159 	Z = 1987
Acelerômetro X = 157 	Y = 313 	Z = 2531
Acelerômetro X = 149 	Y = 261 	Z = 1874
Acelerômetro X = -144 	Y = 286 	Z = 1690
